"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1676";"NULL";"PISTA DE ATLETISMO CERRO DEL TELÉGRAFO";"Rivas-Vaciamadrid";"MADRID";"RE-108776";"RE/0083/2011";"39,900";"b.1.1.I.2";"Inscripción definitiva"
"1677";"NULL";"POLIDEPORTIVO CERRO DEL TELÉGRAFO";"Rivas-Vaciamadrid";"MADRID";"RE-108777";"RE/0086/2011";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1678";"NULL";"ID ENERGÍAS 57";"Villaviciosa de Odón";"MADRID";"RE-108778";"RE/0007/2012";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1679";"NULL";"GESVILLA3";"Fuenlabrada";"MADRID";"RE-108779";"RE/0010/2012";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1680";"NULL";"GESVILLA1";"Fuenlabrada";"MADRID";"RE-108780";"RE/0012/2012";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1681";"NULL";"GESVILLA13";"Fuenlabrada";"MADRID";"RE-108781";"RE/0011/2012";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1682";"NULL";"CAMPO DE FÚTBOL CASA GRANDE";"Rivas-Vaciamadrid";"MADRID";"RE-108782";"RE/0084/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1683";"NULL";"DECATHLON RIVAS VACIAMADRID";"Rivas-Vaciamadrid";"MADRID";"RE-108783";"RE/0047/2010";"25,000";"b.1.1.I.2";"Inscripción definitiva"
"1684";"NULL";"MAQOP EN ARGANDA DEL REY";"Arganda del Rey";"MADRID";"RE-109104";"RE/0020/2012";"85,000";"b.1.1.I.2";"Inscripción definitiva"
"1685";"NULL";"IOSA INMUEBLES";"Madrid";"MADRID";"RE-109105";"RE/0147/2009";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1686";"NULL";"ESCUELA INFANTIL EL PLATERO";"Rivas-Vaciamadrid";"MADRID";"RE-109106";"RE/0081/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1687";"NULL";"MALABÁ";"Madrid";"MADRID";"RE-109107";"RE/0019/2012";"18,000";"b.1.1.I.1";"Inscripción definitiva"
"1688";"NULL";"CASARRUBUELOS SOLAR 75";"Casarrubuelos";"MADRID";"RE-109235";"RE/0014/2012";"75,000";"b.1.1.I.2";"Inscripción definitiva"
"1689";"NULL";"FERNANDO CARRASCOSA GUTIERREZ";"Meco";"MADRID";"RE-109236";"RE/0007/2010";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1690";"NULL";"ALMACENAJE CALLEJA";"Torrelaguna";"MADRID";"RE-109237";"RE/0015/2012";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1691";"NULL";"LUANTRI FOTOVOLTAICA, S.L.";"Fuenlabrada";"MADRID";"RE-109238";"RE/0023/2010";"270,000";"b.1.1.I.2";"Inscripción definitiva"
