"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"636";"NULL";"EDIF. ARROYO DE LA VEGA";"Alcobendas";"MADRID";"RE-006786";"RED-026/05/b.1.1.";"22,220";"b.1.1";"Inscripción definitiva"
"637";"NULL";"TREBOL JARDÍN, SL";"Rozas de Madrid (Las)";"MADRID";"RE-006787";"RED-027/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"638";"NULL";"PALLIERO GOURMET Y R.SL";"Arganda del Rey";"MADRID";"RE-006788";"RED-028/05/b.1.1.";"27,500";"b.1.1";"Inscripción definitiva"
"639";"NULL";"SFCR C/NAVAS";"Algete";"MADRID";"RE-006789";"RED-041/05/b.1.1.";"15,000";"b.1.1";"Inscripción definitiva"
"640";"NULL";"SFCR C/TORRECILLA,14";"Algete";"MADRID";"RE-006790";"RED-042/05/b.1.1.";"25,000";"b.1.1";"Inscripción definitiva"
"641";"NULL";"SFCR C/TORRECILLA, 16";"Algete";"MADRID";"RE-006791";"RED-043/05/b.1.1.";"30,000";"b.1.1";"Inscripción definitiva"
"642";"NULL";"PROMOENAR CONSTRUCCIONES Y PROYECTOS SL";"Colmenar Viejo";"MADRID";"RE-006792";"RED-044/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"643";"NULL";"M. A. RESINO MARCOS";"Nuevo Baztán";"MADRID";"RE-006793";"RED-048/05/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"644";"NULL";"G.R.U. MARVAO";"Villaviciosa de Odón";"MADRID";"RE-006794";"RED-050/05/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"645";"NULL";"CONCEPCIÓN GALA CASADO";"Villanueva del Pardillo";"MADRID";"RE-006795";"RED-051/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"646";"NULL";"MARALGI, SL";"Tres Cantos";"MADRID";"RE-006796";"RED-053/05/b.1.1";"7,500";"b.1.1";"Inscripción definitiva"
"647";"NULL";"RC19";"Madrid";"MADRID";"RE-006797";"RED-054/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"648";"NULL";"RC21";"Madrid";"MADRID";"RE-006798";"RED-055/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"649";"NULL";"VIRIATO";"Madrid";"MADRID";"RE-006799";"RED-056/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"650";"NULL";"GENERAL MARTINEZ CAMPOS";"Madrid";"MADRID";"RE-006800";"RED-057/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"651";"NULL";"DOCE CUERDAS,SL";"Rozas de Madrid (Las)";"MADRID";"RE-006801";"RED-058/05/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"652";"NULL";"CENTRO EDUC. AMB. CASERIO DE HENARES";"San Fernando de Henares";"MADRID";"RE-006802";"RED-061/05/b.1.1";"13,800";"b.1.1";"Inscripción definitiva"
"653";"NULL";"ALDANO FORMACION Y CONDUCCION, SL";"Fuenlabrada";"MADRID";"RE-006803";"RED-064/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"654";"NULL";"SALOMI, SA";"Alcalá de Henares";"MADRID";"RE-006804";"RED-065/05/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"655";"NULL";"KISALA XXII ASOCIADOS, S.L.";"Alcalá de Henares";"MADRID";"RE-006805";"RE/0507/2006";"5,000";"b.1.1";"Inscripción definitiva"
"656";"NULL";"GRUPO 3 SERIGRAFÍA & ROTULACION SL";"Humanes de Madrid";"MADRID";"RE-006806";"RE/0508/2006";"5,000";"b.1.1";"Inscripción definitiva"
"657";"NULL";"JOSE CARLOS REJO SANGUINO";"Fuenlabrada";"MADRID";"RE-006807";"RED-071/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"658";"NULL";"CASUMA, SA";"Coslada";"MADRID";"RE-006808";"RED-077/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"659";"NULL";"ANA Mª MARTIN MORELL";"Villanueva de la Cañada";"MADRID";"RE-006809";"RED-080/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"660";"NULL";"AYUNTAMIENTO DE DAGANZO";"Daganzo de Arriba";"MADRID";"RE-006810";"RED-081/05/b.1.1";"7,500";"b.1.1";"Inscripción definitiva"
"661";"NULL";"ESTHER TUNDIDOR MUÑOZ";"Chinchón";"MADRID";"RE-006811";"RED-082/05/b.1.1";"12,500";"b.1.1";"Inscripción definitiva"
"662";"NULL";"LUIS MARTINEZ MILLAN";"Madrid";"MADRID";"RE-006812";"RED-059/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"663";"NULL";"Mª PILAR ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-006825";"RE/0535/2006";"7,500";"b.1.1";"Inscripción definitiva"
"664";"NULL";"ARCO DE PUBLICIDAD, SL";"Fuenlabrada";"MADRID";"RE-006826";"RED-094/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"665";"NULL";"FIQUESO, S.A.L.";"Coslada";"MADRID";"RE-006829";"RED-092/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"666";"NULL";"MIGUEL TARANCÓN GARCÍA";"Collado Villalba";"MADRID";"RE-006830";"RED-088/05/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"667";"NULL";"LARD & RAIMOND, SL";"Madrid";"MADRID";"RE-006876";"RED-104/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"668";"NULL";"COMERCIAL FERRCASH 2000, SA";"Leganés";"MADRID";"RE-006877";"RED-105/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"669";"NULL";"LIBRERIAS, 12";"Galapagar";"MADRID";"RE-006880";"RED-108/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"670";"NULL";"INSPECCION TECNICA DEL TRANSPORTE, S.A";"San Sebastián de los Reyes";"MADRID";"RE-006878";"RED-106/05/b.1.1";"25,000";"b.1.1";"Inscripción definitiva"
"671";"NULL";"JUAN FERNANDO SANCHEZ GALINDO";"Majadahonda";"MADRID";"RE-006879";"RED-107/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"672";"NULL";"GERMAN E. MARTINEZ GARCIA (Fase nº1)";"Madrid";"MADRID";"RE-006886";"RED-124/05/b.1.1";"39,000";"b.1.1";"Inscripción definitiva"
"673";"NULL";"GERMAN E. MARTINEZ GARCIA (Fase nº2)";"Madrid";"MADRID";"RE-006886";"RED-124/05/b.1.1";"0,000";"b.1.1";"Inscripción definitiva"
"674";"NULL";"EUROESMALTES, SL";"Arganda del Rey";"MADRID";"RE-006882";"RED-110/05/b.1.1.";"15,000";"b.1.1";"Inscripción definitiva"
"675";"NULL";"PROMOCIONES E INVERSIONES FERRETERAS 2000";"Leganés";"MADRID";"RE-006883";"RED-111/05/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"676";"NULL";"DOMINGO Y BENITO INVERSIONES PATRIMONIALES,S.L.";"Madrid";"MADRID";"RE-006884";"RED-112/05/b.1.1.";"4,600";"b.1.1";"Inscripción definitiva"
"677";"NULL";"CARNES ROJAS DE LOS PICOS DE EUROPA., SL";"Madrid";"MADRID";"RE-006885";"RED-112/05/b.1.1.";"15,000";"b.1.1";"Inscripción definitiva"
"678";"NULL";"EMILIO JESUS GONZALEZ GARCIA";"Mejorada del Campo";"MADRID";"RE-006888";"RED-120/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"679";"NULL";"JOSE VICENTE LORENZO JIMENEZ";"Cenicientos";"MADRID";"RE-006890";"RED-115/05/b.1.1";"22,500";"b.1.1";"Inscripción definitiva"
"680";"NULL";"ECOLOGISTAS EN ACCION";"Madrid";"MADRID";"RE-006893";"RED-118/05/b.1.1";"5,500";"b.1.1";"Inscripción definitiva"
"681";"NULL";"GASPAR ALFONSO RUIZ GARCIA";"Madrid";"MADRID";"RE-006894";"RED-129/05/b.1.1";"8,200";"b.1.1";"Inscripción definitiva"
"682";"NULL";"JOSE ANT. BLANCO CORRAL";"Madrid";"MADRID";"RE-006895";"RED-127/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"683";"NULL";"FAMUOF";"Arganda del Rey";"MADRID";"RE-006881";"RED-109/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"684";"NULL";"TRIGEMER, SA";"Rivas-Vaciamadrid";"MADRID";"RE-006887";"RE/0557/2006";"260,000";"a.1.1";"Inscripción definitiva"
"685";"NULL";"DIEZ Y COMPAÑÍA";"Fuenlabrada";"MADRID";"RE-006891";"RED-114/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"686";"NULL";"AYUNTAMIENTO DE COLMENAREJO";"Colmenarejo";"MADRID";"RE-006896";"RED-128/05/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"687";"NULL";"INTERMOBILIARIA";"Tres Cantos";"MADRID";"RE-006897";"RED-113/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"688";"NULL";"FRANCISCANOS MENORES CONVENTUALES";"Madrid";"MADRID";"RE-006898";"RE/0564/2006";"100,000";"b.1.1";"Inscripción definitiva"
"689";"NULL";"Mª ELENA PEREZ RODRIGUEZ";"Fuenlabrada";"MADRID";"RE-006899";"RED-130/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"690";"NULL";"GRUPO SOLAR VALDELAGUA, S.L. (Fase nº1)";"San Agustín del Guadalix";"MADRID";"RE-006900";"RE/0528/2006";"7,800";"b.1.1";"Inscripción definitiva"
"691";"NULL";"GRUPO SOLAR VALDELAGUA, S.L. (Fase nº2)";"San Agustín del Guadalix";"MADRID";"RE-006900";"RED-090/05/b.1.1.";"0,000";"b.1.1";"Inscripción definitiva"
"692";"NULL";"GÓMEZ CONTADORES DE AGUA, S.L.";"Madrid";"MADRID";"RE-007090";"RE/0570/2006";"7,500";"b.1.1";"Inscripción definitiva"
"693";"NULL";"POLIDEP. MUNICIPAL PEDREZUELA";"Pedrezuela";"MADRID";"RE-007091";"RED-133/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"694";"NULL";"FRONTON MUNICIPAL DE PEDREZUELA";"Pedrezuela";"MADRID";"RE-007092";"RED-134/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"695";"NULL";"COMAPACK (Fase nº1)";"San Fernando de Henares";"MADRID";"RE-007093";"RE/1493/2006";"50,000";"b.1.1";"Inscripción definitiva"
"696";"NULL";"COMAPACK (Fase nº2)";"San Fernando de Henares";"MADRID";"RE-007093";"RED-1493/2006";"20,000";"b.1.1";"Inscripción definitiva"
"697";"NULL";"SEDE I.D.A.E.";"Madrid";"MADRID";"RE-007094";"RED-136/05/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"698";"NULL";"MANUEL ALCALA TRAPERO";"Chapinería";"MADRID";"RE-007095";"RED-137/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"699";"NULL";"ATILANO MARTIN POYO (Fase nº1)";"Boadilla del Monte";"MADRID";"RE-007096";"RED-138/05/b.1.1";"7,500";"b.1.1";"Inscripción definitiva"
"700";"NULL";"ATILANO MARTIN POYO (Fase nº2)";"Boadilla del Monte";"MADRID";"RE-007096";"RE/0576/2006";"9,900";"b.1.1";"Inscripción definitiva"
"701";"NULL";"NESTOR AUCIELLO GOMEZ";"Valdemorillo";"MADRID";"RE-007097";"RED-139/05/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"702";"NULL";"JORGE ALONSO ZAFRA";"Rivas-Vaciamadrid";"MADRID";"RE-007098";"RED-140/05/b.1.1";"3,300";"b.1.1";"Inscripción definitiva"
"703";"NULL";"MANUEL FLEITA RUIZ CORNEJO";"Velilla de San Antonio";"MADRID";"RE-007099";"RED-141/05/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"704";"NULL";"FERRAÑOL, SL";"Madrid";"MADRID";"RE-007100";"RED-142/05/b.1.1";"6,600";"b.1.1";"Inscripción definitiva"
"705";"NULL";"REDIFE, SL";"Madrid";"MADRID";"RE-007101";"RED-143/05/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"706";"NULL";"PEDRO ALONSO BRAGADO";"Móstoles";"MADRID";"RE-007102";"RE/0582/2006";"5,000";"b.1.1";"Inscripción definitiva"
"707";"NULL";"PINTURAS OSCAR LUJAN, SL";"Nuevo Baztán";"MADRID";"RE-007103";"RED-145/05/b.1.1";"9,900";"b.1.1";"Inscripción definitiva"
"708";"NULL";"AYUNTAMIENTO DE QUIJORNA";"Quijorna";"MADRID";"RE-007104";"RED-146/05/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"709";"NULL";"AYUNTAMIENTO DE ALGETE(CASA JUVNETUD) (Fase nº1)";"Algete";"MADRID";"RE-007105";"RED-147/05/b.1.1";"9,200";"b.1.1";"Inscripción definitiva"
"710";"NULL";"AYUNTAMIENTO DE ALGETE(CASA JUVNETUD) (Fase nº2)";"Algete";"MADRID";"RE-007105";"RED-147/05/b.1.1";"0,000";"b.1.1";"Inscripción definitiva"
"711";"NULL";"GREORTE, SL";"Guadarrama";"MADRID";"RE-007107";"RED-001/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"712";"NULL";"GREORTE, SL";"Guadarrama";"MADRID";"RE-007108";"RED-002/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"713";"NULL";"TRANSPORTES ENSAHER, SL";"Guadarrama";"MADRID";"RE-007109";"RED-003/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"714";"NULL";"TRANSPORTES ENSAHER, SL";"Guadarrama";"MADRID";"RE-007110";"RED-004/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"715";"NULL";"TRANSPORTES ENSAHER, SL";"Guadarrama";"MADRID";"RE-007111";"RED-005/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"716";"NULL";"TRANSPORTES ENSAHER, SL";"Guadarrama";"MADRID";"RE-007112";"RED-006/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"717";"NULL";"ALBITE PROMOEUROPEA, SL";"Guadarrama";"MADRID";"RE-007113";"RED-008/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"718";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-007114";"RED-009/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"719";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-007115";"RED-010/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"720";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-007116";"RED-011/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"721";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-007117";"RED-012/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"722";"NULL";"INICIATIVA SOLAR, SL";"Guadarrama";"MADRID";"RE-007118";"RED-013/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"723";"NULL";"CC&GR, S.L.";"Guadarrama";"MADRID";"RE-007119";"RED-014/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"724";"NULL";"CC&GR, S.L.";"Guadarrama";"MADRID";"RE-007120";"RED-015/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"725";"NULL";"CC&GR, S.L.";"Guadarrama";"MADRID";"RE-007121";"RED-016/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"726";"NULL";"CC&GR, S.L.";"Guadarrama";"MADRID";"RE-007122";"RED-017/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"727";"NULL";"CC&GR, S.L.";"Guadarrama";"MADRID";"RE-007123";"RED-018/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"728";"NULL";"ENERGIAS RENOVABLES Y EOLICAS MADRID, SL";"Guadarrama";"MADRID";"RE-007124";"RED-019/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"729";"NULL";"ENERGIAS RENOV. EOLICAS MADRID, SL";"Guadarrama";"MADRID";"RE-007125";"RED-020/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"730";"NULL";"ENERGIAS RENOV. EOLICAS MADRID, SL";"Guadarrama";"MADRID";"RE-007126";"RED-021/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"731";"NULL";"PACIFIC SUNBLAST ENERGY, S.L.";"Guadarrama";"MADRID";"RE-007127";"RED-022/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"732";"NULL";"ENERGIAS RENOV. Y EOLICAS DE MADRID,S.L.";"Guadarrama";"MADRID";"RE-007128";"RED-023/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"733";"NULL";"ENERGIAS RENOV. Y EOLICAS DE MADRID,S.L.";"Guadarrama";"MADRID";"RE-007129";"RED-024/06/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"734";"NULL";"ENERGIAS RENOV. Y EOLICAS DE MADRID,S.L.";"Guadarrama";"MADRID";"RE-007130";"RED-025/06/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"735";"NULL";"CRISTALERIAS J. REY, SL";"Guadarrama";"MADRID";"RE-007131";"RED-026/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"736";"NULL";"CRISTALERIAS J. REY, SL";"Guadarrama";"MADRID";"RE-007132";"RED-027/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"737";"NULL";"CRISTALERIAS J. REY, SL";"Guadarrama";"MADRID";"RE-007133";"RED-028/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"738";"NULL";"TRANSPORTES ENSAHER, SL";"Guadarrama";"MADRID";"RE-007134";"RED-007/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"739";"NULL";"CRISTALERIAS J. REY, SL";"Guadarrama";"MADRID";"RE-007245";"RED-029/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"740";"NULL";"CRISTALERIAS J. REY, SL";"Guadarrama";"MADRID";"RE-007246";"RED-030/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"741";"NULL";"COLININ, SL";"Guadarrama";"MADRID";"RE-007247";"RED-031/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"742";"NULL";"COLININ, SL";"Guadarrama";"MADRID";"RE-007248";"RED-032/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"743";"NULL";"COLININ, SL";"Guadarrama";"MADRID";"RE-007249";"RED-033/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"744";"NULL";"COLININ, SL";"Guadarrama";"MADRID";"RE-007250";"RED-034/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"745";"NULL";"VIAJES JOCHA, SL";"Guadarrama";"MADRID";"RE-007251";"RED-035/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"746";"NULL";"VIAJES JOCHA, SL";"Guadarrama";"MADRID";"RE-007252";"RED-036/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"747";"NULL";"VIAJES JOCHA, SL";"Guadarrama";"MADRID";"RE-007253";"RED-037/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"748";"NULL";"VIAJES JOCHA, SL";"Guadarrama";"MADRID";"RE-007254";"RED-038/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"749";"NULL";"VIAJES JOCHA";"Guadarrama";"MADRID";"RE-007255";"RED-039/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"750";"NULL";"VAQUEMA, SL";"Guadarrama";"MADRID";"RE-007256";"RED-040/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"751";"NULL";"VAQUEMA, SL";"Guadarrama";"MADRID";"RE-007257";"RED-041/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"752";"NULL";"VAQUEMA, SL";"Guadarrama";"MADRID";"RE-007258";"RED-042/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"753";"NULL";"VAQUEMA, SL";"Guadarrama";"MADRID";"RE-007259";"RED-043/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"754";"NULL";"PATCAI, SL";"Guadarrama";"MADRID";"RE-007260";"RED-044/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"755";"NULL";"PATCAI, SL";"Guadarrama";"MADRID";"RE-007261";"RED-045/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"756";"NULL";"PATCAI, SL";"Guadarrama";"MADRID";"RE-007262";"RED-046/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"757";"NULL";"PATCAI, SL";"Guadarrama";"MADRID";"RE-007263";"RED-048/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"758";"NULL";"PATCAI, SL";"Guadarrama";"MADRID";"RE-007264";"RED-049/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"759";"NULL";"VAQUEMA, SL";"Guadarrama";"MADRID";"RE-007265";"RED-047/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"760";"NULL";"I CAPITAL, SL";"Guadarrama";"MADRID";"RE-007266";"RED-050/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"761";"NULL";"I CAPITAL, SL";"Guadarrama";"MADRID";"RE-007267";"RED-051/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"762";"NULL";"I CAPITAL, SL";"Guadarrama";"MADRID";"RE-007268";"RED-052/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"763";"NULL";"I CAPITAL, SL";"Guadarrama";"MADRID";"RE-007269";"RED-054/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"764";"NULL";"I CAPITAL, SL";"Guadarrama";"MADRID";"RE-007270";"RED-055/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"765";"NULL";"ALBITE PROMOEUROPEA, SL";"Guadarrama";"MADRID";"RE-007271";"RED-053/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"766";"NULL";"ALBITE PROMOEUROPEA, SL";"Guadarrama";"MADRID";"RE-007272";"RED-056/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"767";"NULL";"ALBITE PROMOEUROPEA, SL";"Guadarrama";"MADRID";"RE-007273";"RED-057/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"768";"NULL";"ALBITE PROMOEUROPEA, SL";"Guadarrama";"MADRID";"RE-007274";"RED-058/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"769";"NULL";"F.S.E.R. FOTOSOLAR, SL";"Guadarrama";"MADRID";"RE-007275";"RED-059/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"770";"NULL";"GRECOR DOS, SL";"Guadarrama";"MADRID";"RE-007276";"RED-060/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"771";"NULL";"F.S.E.R. FOTOSOLAR, SL";"Guadarrama";"MADRID";"RE-007277";"RED-061/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"772";"NULL";"F.S.E.R. FOTOSOLAR, SL";"Guadarrama";"MADRID";"RE-007278";"RED-062/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"773";"NULL";"FSER FOTOSOLAR B-12";"Guadarrama";"MADRID";"RE-007279";"RED-064/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"774";"NULL";"CONSULTORIA NAER, SL";"Guadarrama";"MADRID";"RE-007280";"RED-063/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"775";"NULL";"PACIFIC SUNBLAST ENERGY, S.L.";"Guadarrama";"MADRID";"RE-007281";"RED-065/06/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"776";"NULL";"CONSULTORIA NAER, SL";"Guadarrama";"MADRID";"RE-007282";"RED-066/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"777";"NULL";"CONSULTORIA NAER, SL";"Guadarrama";"MADRID";"RE-007283";"RED-067/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"778";"NULL";"CONSULTORIA NAER, SL";"Guadarrama";"MADRID";"RE-007284";"RED-068/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"779";"NULL";"JESUS CORELLA GARCIA (antes EXTEAGA, SL";"Guadarrama";"MADRID";"RE-007285";"RED-069/06/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"780";"NULL";"EXTEAGA, SL";"Guadarrama";"MADRID";"RE-007286";"RED-070/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"781";"NULL";"EXTEAGA, SL";"Guadarrama";"MADRID";"RE-007287";"RED-071/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"782";"NULL";"INTERFASE SOLAR, SL";"Guadarrama";"MADRID";"RE-007288";"RED-072/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"783";"NULL";"INTERFASE SOLAR, SL";"Guadarrama";"MADRID";"RE-007289";"RED-073/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"784";"NULL";"INTERFASE SOLAR, SL";"Guadarrama";"MADRID";"RE-007290";"RED-074/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"785";"NULL";"INTERFASE SOLAR, SL";"Guadarrama";"MADRID";"RE-007291";"RED-076/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"786";"NULL";"INTERFASE SOLAR, SL";"Guadarrama";"MADRID";"RE-007292";"RED-075/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"787";"NULL";"GRECOR DOS, SL";"Guadarrama";"MADRID";"RE-007293";"RED-077/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"788";"NULL";"GRECOR DOS, SL";"Guadarrama";"MADRID";"RE-007294";"RE/0664/2006(RED-078/b.1.1)";"5,000";"b.1.1";"Inscripción definitiva"
"789";"NULL";"ISPAT, SL";"Guadarrama";"MADRID";"RE-007295";"RED-079/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"790";"NULL";"FSER FOTOSOLAR, SL";"Guadarrama";"MADRID";"RE-007296";"RE/00666/2006";"5,000";"b.1.1";"Inscripción definitiva"
"791";"NULL";"COMERCIAL MIRASIERRA, SA";"Madrid";"MADRID";"RE-007297";"RED-081/a.1.1";"983,000";"a.1.1";"Inscripción definitiva"
"792";"NULL";"CASTELLO";"Madrid";"MADRID";"RE-007298";"RED-082/b.1.1";"4,600";"b.1.1";"Inscripción definitiva"
"793";"NULL";"AYTO DE MIRAFLORES DE LA SIERRA";"Miraflores de la Sierra";"MADRID";"RE-007299";"RED-083/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"794";"NULL";"AYUNTAMIENTO DE ALGETE";"Algete";"MADRID";"RE-007300";"RED-085/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"795";"NULL";"ALBERGUE SAN FERMIN";"Madrid";"MADRID";"RE-007302";"RED-087/b.1.1";"2,400";"b.1.1";"Inscripción definitiva"
"796";"NULL";"LUIS MARTINEZ MILLAN";"Madrid";"MADRID";"RE-007303";"RE/0674/2006";"5,000";"b.1.1";"Inscripción definitiva"
"797";"NULL";"ALFONSO PASCA ALVAREZ";"Boadilla del Monte";"MADRID";"RE-007304";"RED-089/b.1.1";"9,900";"b.1.1";"Inscripción definitiva"
"798";"NULL";"AYUNTAMIENTO DE MIRAFLORES DE LA SIERRA";"Miraflores de la Sierra";"MADRID";"RE-007305";"RED-084/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"799";"NULL";"AMANCIO ALBURQUERQUE AMPUERO";"Cenicientos";"MADRID";"RE-007306";"RED-083/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
